Tripura v Manipur,1.03,1.03,/exchange/football/event?id=28066677,India ,Santosh Trophy 
Services v Telangana,1.03,1.03,/exchange/football/event?id=28066674,India ,Santosh Trophy 
Melbourne City v Western Sydney,1.21,1.04,/exchange/football/event?id=28061674,Australia ,A League 2016/17 
Youngmens Club v Kawran Bazar P Sangha,1.03,1.03,/exchange/football/event?id=28065691,Bangladesh ,Bangladesh Championship League 
MS Ironi Or Yehuda v H Kfar Kasem Shuaa,1.18,1.06,/exchange/football/event?id=28066901,Israel ,Liga Bet - South A 
MSK Hapoel Kiryat Yam v Ahva Arraba,1.18,1.06,/exchange/football/event?id=28066904,Israel ,Liga Bet - North A 
St Gallen v Winterthur,1.1,1.03,/exchange/football/event?id=28066923,International ,Friendly 
Maccabi Beer Sheba v ASN Jerusalem,1.03,1.03,/exchange/football/event?id=28066683,Israel ,Liga Bet - South B 
Maccabi Irony Netivot v MS Beitar Yavne,1.16,1.06,/exchange/football/event?id=28066907,Israel ,Liga Bet - South B 
Tamilnadu v Lakshadweep,1.03,1.03,/exchange/football/event?id=28066676,India ,Santosh Trophy 
Hapoel Hod Hasharon v Hapoel Kiryat Shmona,1.08,1.03,/exchange/football/event?id=28066905,Israel ,Israeli State Cup 
M Ironi Amishav PT v Hapoel Nahalat Yehuda,1.03,1.03,/exchange/football/event?id=28066902,Israel ,Liga Bet - South A 
Maccabi Kiryat Ata v Hapoel Ramat Gan,1.2,1.06,/exchange/football/event?id=28066906,Israel ,Israeli State Cup 
Bnei Eilat v MS Maccabi Ashdod,1.18,1.06,/exchange/football/event?id=28066908,Israel ,Liga Bet - South B 
Singapore (W) v UAE (W),1.01,1.04,/exchange/football/event?id=28066922,United Kingdom ,Friendlies (W) 
Chittagong Mohammedan v Victoria SC,1.03,1.03,/exchange/football/event?id=28065692,Bangladesh ,Bangladesh Championship League 
Beitar Tel Aviv Ramla v Hapoel Nazareth Illit,1.28,1.03,/exchange/football/event?id=28066910,Israel ,Israeli State Cup 
Hapoel Jerusalem v Hapoel Afula,1.26,1.06,/exchange/football/event?id=28066909,Israel ,Israeli State Cup 
Maccabi Netanya v Hapoel Rishon Lezion,1.18,1.03,/exchange/football/event?id=28066685,Israel ,Israeli State Cup 
Tottenham U23 v Chelsea U23,1.12,1.03,/exchange/football/event?id=28060978,United Kingdom ,Premier League 2 
Al Wehdat v Al Sareeh,1.28,1.03,/exchange/football/event?id=28066688,Jordan ,Jordan League 
Arsenal U23 v Derby U23,1.1,1.03,/exchange/football/event?id=28060979,United Kingdom ,Premier League 2 
Blackburn U23 v Swansea U23,1.03,1.03,/exchange/football/event?id=28066662,United Kingdom ,Premier League 2 
Heracles v De Graafschap,1.08,1.03,/exchange/football/event?id=28066680,International ,Friendly 
Reading U23 v Southampton U23,1.03,1.03,/exchange/football/event?id=28067615,United Kingdom ,Premier League 2 
Mainz v ADO Den Haag,1.03,1.04,/exchange/football/event?id=28067614,International ,Friendly 
Almeria v Getafe,1.43,1.11,/exchange/football/event?id=28060991,Spain ,Segunda Division 
Emmen v Achilles 29,1.03,1.03,/exchange/football/event?id=28066924,International ,Friendly 
Estoril Praia U19 v Sporting Lisbon U19,1.03,1.03,/exchange/football/event?id=28066919,Portugal ,Portuguese U19 Championship 
Valladolid v Reus Deportiu,1.53,1.14,/exchange/football/event?id=28060989,Spain ,Segunda Division 
